nerve,param,limit_value,cidp_cutoff
MM,DML,3.6,150
MM,NCV1,50,70
MM,NCV2,55,70
MM,FL,30,130
MM,DUR1,6.6,100
MM,DUR2,6.6,100
MM,DUR3,6.6,100
MM,CMAP1,5,100
MM,CMAP2,5,100
MM,CMAP3,5,100
PM,DML,4.7,150
PM,NCV1,40,70
PM,NCV2,40,70
PM,FL,55,130
PM,DUR1,7.6,100
PM,DUR2,7.6,100
PM,DUR3,7.6,100
PM,CMAP1,4,100
PM,CMAP2,4,100
PM,CMAP3,4,100
TM,DML,5.1,150
TM,NCV1,40,70
TM,FL,57,130
TM,DUR1,8.8,100
TM,DUR2,8.8,100
TM,CMAP1,5,100
TM,CMAP2,5,100
UM,DML,2.7,150
UM,NCV1,50,70
UM,NCV2,50,70
UM,NCV3,50,70
UM,FL,30,130
UM,DUR1,6.7,100
UM,DUR2,6.7,100
UM,DUR3,6.7,100
UM,DUR4,6.7,100
UM,CMAP1,5,100
UM,CMAP2,5,100
UM,CMAP3,5,100
UM,CMAP4,5,100
